Start,End,Speaker,Text
0:10:06,0:10:37,SPEAKER_04,"Pero por eso podemos ir ahora. Sí, vamos. Y tú conoces los sitios. Porque si está Andrea que no lo ha visto, porque no está hoy. Y quién más está enfermo. Y Cristina tampoco está. Y bueno, Cristina se conoce, yo sé el sitio del pollo, si se lo conoce. El Chic Filet. Chic Filet se llama. Todo el mundo es Chic Filet. El Chic Filet es el sitio del pollo. Sí, como que todo el mundo es Chic Filet. Es donde pasamos toda la semana. Bueno, y ahí el Target. Bien, podemos ir."
0:10:37,0:10:40,SPEAKER_00,Algunas chicas te dieron a Claire's.
0:10:40,0:10:50,SPEAKER_03,"Ah, sí. Ah, la tienda de cositas del bebé, joyería, muy bonito. Sí, nos dijeron del parque que hay cruzando el puente."
0:10:51,0:11:04,SPEAKER_04,"Pero creo que no es muy lejos. Hybrid? Yeah, I was going to say hybrid, but none of them mentioned hybrid. Sí, el puente, alguien lo dijo. Ah. El puente que lleva al Bronx, puede ser? Sí."
0:11:04,0:11:10,SPEAKER_02,"Creo que dice lleva a Connecticut, pero... dijo a Connecticut eventualmente, sí. Sí."
0:11:10,0:11:11,SPEAKER_03,"Bronx, sí."
0:11:11,0:13:12,SPEAKER_04,"Sí que lo dijo, pero no sé si está muy lejos, no. Igual la casa de Dylan, que sería bonito pasar por el edificio de alguien. También, pero si no conocemos... andrea está muy... quería que tuviéramos una ruta fija de los sitios donde vamos a ir. Y es una buena idea. Y por ejemplo, en el sitio del Seafood, si fuéramos ahora, podríamos preguntarle si estuviera bien entrar. Porque si es el papá de uno de ellos. Bueno, a ese le podría preguntar por mensaje o teléfono. Solo entrar sin disturbar lo que fuera. Ah, sí. ¿Jayden, Marina, es tu alumna? Sí. ¿Tú crees que le podrías preguntar al papá? Como por... seafood, Junior. Sí. Junior Seafood. Pero es como bajo... no, no. Ah, vamos a irnos. Ah, para las... porque tampoco sabemos, o sea, bueno, tú sabes. Podemos pasar a ver si... pero no sabemos quién es. Podemos pasar, es que es... y la barbería. ¿Dónde está? Es como en... es en Broadway, en 180th. La casa del Mofongo es más al norte, pero si vamos allí, tenemos que ir al oeste también. Estamos en la casa del Mofongo, como en 180th. Y... es aquí. Broadway. Sí. La casa del Mofongo es como... ¿Sabes? El Mofongo está aquí mismo. Sí. Aquí, pero estamos aquí, en este camino, ¿verdad? Sí. Pero su lugar es más al oeste. Sí, está más abajo de allá. Sí, sí, sí. O al oeste. ¿Alguien vive en la casa del Mofongo? ¿Sí? Nosotros. ¿Nosotros? Los mayores. Es que es enorme. Es enorme y tiene como el pilón. Me he movido de happy hour. Bueno, we can go, but I think that's like the route that we take, Marín and a few others. Claro, yo estoy pensando que... because I think it's way west. Está. So, if we pick a route like that... porque cada grupo tiene una ruta diferente, ¿no? Un camino diferente. Sí, no sé si es mejor... dejamos a algunos en la clase. Sí, sí, sí, claro. Pero... ¿Nos dará tiempo a hacer... ¿Nos dará tiempo a hacer... ¿Nos dará tiempo a hacer... ¿Nos dará tiempo a hacer... ¿Nos dará tiempo a hacer... ¿Nos dará tiempo a hacer... ¿Nos dará tiempo a hacer..."
0:13:12,0:13:18,SPEAKER_01,"¿Nos dará tiempo a hacer... ¿Nos dará tiempo a hacer... ¿A intercambiar? Sí, si no es tan largo, la caminata. Sí, porque si salimos de aquí como a las 4 o 10. Sí, como..."
0:13:18,0:13:23,SPEAKER_03,"No sé, como dos cuadras por allá. Hay que venir, hablar de las normas, prepararse y salir de la clase. Yo creo que nos las vamos a tomar. Entonces el otro grupo tendría que estar... porque si quieren parar a tomar fotos o si quieren entrar a una parte, toma tiempo."
0:13:23,0:13:27,SPEAKER_04,"Porque todos van a querer tomar fotos y todos van a querer entrar. Si, si, todos van a llevar fotos. Assume..."
0:13:27,0:13:44,SPEAKER_03,It's like 10 minutes away from here.
0:13:44,0:13:54,SPEAKER_04,"Pero lo que pasa es que si caminamos a otro, y vemos otros sitios... man..."
0:14:24,0:14:29,SPEAKER_02,¿Como se dice en español?
0:14:29,0:14:30,SPEAKER_01,¿Tesoros?
0:14:30,0:14:44,SPEAKER_02,"Tesoros, sí. Y entonces estaba pensando sobre cosas de historia en el parque, parecen como tesoros,"
0:14:44,0:14:53,SPEAKER_05,No sé. ¿Cuáles tesoros...? Para el stop motion.
0:14:53,0:14:58,SPEAKER_04,"¿Estás pensando para la historia del stop motion? Ahora no, pero sí."
0:14:58,0:15:00,SPEAKER_02,"Eventualmente. Sí, pero..."
0:15:00,0:16:07,SPEAKER_04,"Eventualmente las fotos solo van a ser como la base. Luego estamos pensando hacer tridimensional con plasti o algo, recortes. Sí. La barbería está más cerca. ¿Dónde? Que el Seafood. Sí. Cinco minutos. Está como... pero está en el camino, ¿no? No, son caminos diferentes. Pero está cerca de la catedral de Fonda. Que vaya un grupo a cada lado. Que un grupo vaya hacia el Seafood y otro grupo vaya hacia la barbería. Hacemos dos grupos. Bueno, hacemos cuatro. Y el miércoles los dos. Porque inicialmente habíamos pensado en seis grupos y dos grupos iban a salir juntos. Sí. ¿Sí? ¿Recuerdo? Sí. Así que estos dos grupos caminarían a un sitio, no sé, con una horita fija. Y entonces, I guess we have like three destinations. Three. ¿Cuántos niños? Pero ellos quieren llegar hasta el parque. Sí. ¿Tú sabes qué parque es?"
0:16:07,0:16:12,SPEAKER_02,"O sea, es como seis o siete. ¿Es el mismo parque? Era primero para seis, después otro era..."
0:16:12,0:16:15,SPEAKER_04,"Para mí, I'm a learner."
0:16:15,0:16:17,SPEAKER_00,I'm learning about the community.
0:16:17,0:16:19,SPEAKER_01,But this group for me.
0:16:19,0:16:23,SPEAKER_02,Creo que porque estaban... they were pointing.
0:16:23,0:16:28,SPEAKER_04,"Estaban hablando del parque de Highbridge. No, no. No. No, no."
0:16:28,0:16:33,SPEAKER_03,"No, no. No, no. No, no. No, no. No, no."
0:16:33,0:16:38,SPEAKER_04,"No, no. No, no. No, no. No, no. No, no."
0:16:38,0:16:41,SPEAKER_03,"No, no. No, no. No, no."
0:16:41,0:16:57,SPEAKER_04,"No, no. No, no. No, no. ¿Qué más sitios hablaron? Tenemos el parque, seafood, la barbería, el mofongo, el McDonald's, Subway. El Chicago. El Chicken and Filet. El Chicken and Filet. El Chicken and Filet."
0:16:57,0:17:06,SPEAKER_02,"Mi grupo también mencionó una tienda de mascotas, pero no puedo decir exactamente dónde está. O sea, es un puppy shop. Un puppy shop. ¿Una tienda de mascotas, Paulina?"
0:17:06,0:17:10,SPEAKER_04,"Sí. Sí, en 181st Street. Sí. ¿Cerquita?"
0:17:10,0:17:11,SPEAKER_00,"No, en Miami."
0:17:11,0:17:55,SPEAKER_04,"Sí, está como caminando. Hay una tienda de plantas y luego está el Dunkin' Donuts. Sí, hay un McDonald's. Y el McDonald's está en la esquina. Vaya, más o menos. Porque hay que ir escuchando a los niños. Capturar eso va a ser difícil. Hay que grabar o escribir. No sé cómo hacer. Me huele un poco lejos. Además de sus fotos. O sea, yo me muero de mi casa 12 minutos. Hoy viniendo para acá, que me estaba fijando más en la comunidad, hay una botita ahí que vende Virgen de la Guadalupe y qué sé yo que venden. Sí, sí. Es muy bonita. Los Aumerios. Hay que ir muy lejos para encontrar maravillas. Para los santos y cosas. Ya, porque ahora sí. Voy a entrar aquí a que me bendigan. Bien bonita. Y alrededor del metro me encanta esa avión música."
0:17:55,0:18:05,SPEAKER_03,"Sí, al metro hacia arriba cuando uno va a la prendería hay muchas tiendas y hay mucha gente que vende cosas en la calle. A mí me interesa. Pues vamos, vamos a verlo."
0:18:05,0:18:10,SPEAKER_04,"Lo llevamos para escribir. Porque de aquí al martes a lo mejor se olvida. Manuel, ¿puedes no?"
0:18:10,0:18:12,SPEAKER_03,Saben que los sitios. Apuntemos los 3 y 4 sitios.
0:18:12,0:18:34,SPEAKER_04,"Tenemos que parar y poner y grabar. Y grabar. Y grabar. Y entonces hacer un... un adulto con 4 o 5 niños como mucho. Claro. Y que se sientan seguro. Que se sientan seguro. Y luego hacer un adulto con 4 niños. Los de aquí se quedan poquitos, dos adultos. Y los demás se van. Entonces, ¿los vamos a hacer en dos días? ¿Qué os parece si lo hacemos en dos días? ¿Se quejarán mucho? Al mismo tiempo y salimos con un desfase de 5 minutos."
0:18:34,0:18:39,SPEAKER_03,"O sea, si hay... es que viene Agostina. Si hay una chica que necesita..."
0:18:39,0:18:44,SPEAKER_04,Hacerlo con un grupo pequeño. El martes solo. Oh.
0:18:44,0:18:47,SPEAKER_05,"Por eso ella había dicho como salir con un grupo,"
0:18:47,0:18:49,SPEAKER_03,Volver y algo así.
0:18:49,0:18:58,SPEAKER_02,"Ah, es que a mí me dijo eso. Pues entonces también, pero se tendría... los que se quedaron aquí se tendría que hacer algo con ellos también. O sea, podéis al otro día, pero el mismo día..."
0:18:58,0:19:35,SPEAKER_04,"No van a dar tiempo a Switch. Pero pueden acabar y salir. No tienen que esperar a que vuelva el otro grupo. O no seremos suficientes. Porque Agostina puede ir con el grupo también. Agostina no va... tiene que ir uno que sepa que haya hecho el paseo. Pero también ella tiene como que no es parte del After School. No. No puede... no, pero como acompañante, como soporte. Ah, como acompañante sí, pero no que ella le... ah, no, y no conoce nada de la comunidad. No, no, por una cosa es la habilidad. O sea que... también. I mean, we could split it up, but I was always thinking it could be good if we all went. Because then it's not a..."
0:19:35,0:19:45,SPEAKER_04,"Yeah. Oh, but I'm not going to be here Wednesday. I mean, we could still go Wednesday with whoever didn't come on Tuesday. But it would be more manageable if we all..."
0:19:45,0:19:54,SPEAKER_03,"I think that we have to do it one day. Yeah, me too. Whoever is here. ¿Cuando? ¿También? Los que están, están. Los que no, no."
0:19:54,0:19:59,SPEAKER_04,"O quizás si son pocos, si son pocos que no están. Sí, el martes."
0:19:59,0:20:06,SPEAKER_03,"El miércoles, algunos de nosotros podemos salir y llevarlos cerca. A los que no vayan. A los que no estén. A los que no estén."
0:20:06,0:20:13,SPEAKER_03,Gracias. Muchas. Porque si no que ya les avisamos. Ya les avisamos.
0:20:13,0:20:43,SPEAKER_04,"Gracias. Pues vamos, vamos a ver, vamos a visitar. Pero un sitio, like, que vamos a hacer, like, we're not going to define rutas ahora, no? En Vienes. Why don't we just do 181st Street? Yes. As we do 181st, we can do the one video. Put that video out of the way. ¿Vamos ahora? Sí. ¿Vamos ahora? Are we bringing our stuff? Yeah. Yeah, let's leave it on there. Oh, we're leaving it on there. How is that?"
0:20:43,0:20:44,SPEAKER_02,Okay.
0:20:44,0:20:47,SPEAKER_04,"Yeah? Yeah, because I was going to say, they like to lock the room. Oh, my God."
