,Start,End,Speaker,Text
31,0:02:19,0:02:28,SPEAKER 2," Tardó un poquito.  Sí, quitó.  Porque la gente está...  Sí, ella empezó como, mi papá trabaja, ¿no?  No me acuerdo del nombre del restaurante decía. "
32,0:02:28,0:02:48,SPEAKER 1," Seafood Junior.  Sí, que él trabaja.  Hablaron de sus padres y dónde trabajan y todo eso.  Y Marín quiso buscar como Google Maps, que ella conoce y sabe que puede buscar el sitio y la dirección.  Y creo que pidió a Paulina, ¿no? "
33,0:02:48,0:03:16,SPEAKER 5," Vino acá y me dijo, ¿tienes Google Maps?  Y yo, sí, a ver, a ver.  Me dijo, no, no, no, andate al McDonald's.  Que no me hacía más callar, pero es la esquina que conozco.  Y yo le dije, el McDonald's está tapado porque veo unos negocios.  Me dijo, no, no, no, camina para adelante.  Y como se exasperó, porque yo estaba así como, ¿qué, qué?  Avanzó hasta Broadway, giró y siguió avanzando.  Y dijo, aquí.  Dio vuelta a la cámara y se veía el local.  Y dijo, ahí, ahí, ahí, ese es el local de mi papá. "
34,0:03:16,0:03:20,SPEAKER 4," Nos olvidamos de hacer eso, ¿no, Belén?  Porque tal vez hubiera sido más real. "
35,0:03:20,0:03:21,SPEAKER 2, No. 
36,0:03:21,0:03:23,SPEAKER 4, Nos olvidamos de ver Google Maps. 
37,0:03:23,0:03:25,SPEAKER 1," Pero es mejor.  Bueno, no es mejor o peor, pero... "
38,0:03:25,0:03:26,SPEAKER 5, Porque mañana... 
39,0:03:26,0:03:27,SPEAKER 1, Porque en el iPad también. 
40,0:03:27,0:03:28,SPEAKER 5, Porque lo han explorado así. 
41,0:03:28,0:03:48,SPEAKER 1," Y planificamos, bueno, cuando hablamos, unas dos semanas,  habíamos hablado que hoy veríamos los lugares que conocen, ya conocen.  Y después mañana buscamos, porque yo tengo un mapa gigante de Google Maps,  pero no encuentro esa impresora. "
42,0:03:48,0:03:52,SPEAKER 4, Imprímelo en un sitio.  En un sitio.  Y le das el recibo. 
43,0:03:52,0:03:53,SPEAKER 1," Solo no cabe tiempo, sí. "
44,0:03:53,0:03:56,SPEAKER 4," Ya, pero si te da tiempo, mañana. "
45,0:03:56,0:03:58,SPEAKER 1, Entre hoy y mañana. 
46,0:03:58,0:03:59,SPEAKER 5, ¿Qué cosa necesitas? 
47,0:03:59,0:04:00,SPEAKER 4, Yo tengo reunión a las 9. 
48,0:04:00,0:04:01,SPEAKER 5, ¿Color printing? 
49,0:04:01,0:04:06,SPEAKER 2, Pero...  ¿Pero podemos imprimir aquí?  ¿Tú tienes un color printing acá?  Sí.  ¿Es mucho? 
50,0:04:06,0:04:07,SPEAKER 4, Pero es grande. 
51,0:04:07,0:04:08,SPEAKER 1, ¿Son 9 páginas? 
52,0:04:08,0:04:09,SPEAKER 4," No, está bien. "
53,0:04:09,0:04:10,SPEAKER 3," ¿Sí, está bien? "
54,0:04:10,0:04:12,SPEAKER 1, Sí.  OK. 
55,0:04:12,0:04:13,SPEAKER 2, Ya tengo el archivo y todo. 
56,0:04:13,0:04:16,SPEAKER 1, Te envío.  Y ahí lo ponemos para que podamos... 
57,0:04:16,0:04:22,SPEAKER 4, Es que en la oficina se nos...  Ashley se compró una nueva computadora y no la han enchufado.  No funciona cuando la impresora. 
58,0:04:22,0:04:28,SPEAKER 1," Y lo quería hacerlo en Castlebridge, pero número uno, no tuve tiempo, y número dos,  creo que la impresora no estaba funcionando. "
59,0:04:28,0:04:30,SPEAKER 4, ¿Pero lo quieres luego pegar todo? 
60,0:04:30,0:04:33,SPEAKER 1," Sí, pegar todo, porque son por tres, por tres. "
61,0:04:33,0:04:38,SPEAKER 4, Y si quieres ir a un sitio profesional que te lo...  ¿Cómo se llama? 
62,0:04:38,0:04:39,SPEAKER 2, Edexo. 
63,0:04:39,0:04:41,SPEAKER 5, ¿Cómo se llama?  Staples. 
64,0:04:41,0:04:42,SPEAKER 3, Sí. 
65,0:04:42,0:04:45,SPEAKER 4," Ah, sí, sí, sí.  No va a costar una fortuna, pero bueno. "
66,0:04:45,0:04:48,SPEAKER 2," Sí, puedo intentar.  No, pero sí podemos pegarlo aquí. "
67,0:04:48,0:04:50,SPEAKER 5," Sí, va a ser más barato y más fácil. "
68,0:04:50,0:04:56,SPEAKER 3, ¿Es que podemos preguntar en TC abajo?  ¿Hay un lugar que imprime? 
69,0:04:56,0:04:57,SPEAKER 2," Sí, en Business Center. "
70,0:04:57,0:04:58,SPEAKER 4, Sí. 
71,0:04:58,0:05:00,SPEAKER 5," Bien caro, pero para una excepción. "
72,0:05:00,0:05:02,SPEAKER 4," Ah, ¿dónde se envía? "
73,0:05:02,0:05:04,SPEAKER 2," Business Center, in the business.  ¿Packages y todo? "
74,0:05:04,0:05:05,SPEAKER 1, Sí. 
75,0:05:05,0:05:07,SPEAKER 2," Sí, ahí dice.  Ah, no tengo ni idea. "
76,0:05:07,0:05:08,SPEAKER 4, ¿Cuánto cuesta? 
77,0:05:08,0:05:10,SPEAKER 2," Si tú tienes tiempo, no sé. "
78,0:05:10,0:05:12,SPEAKER 1, Porque...  Si me lo manda y puedo... 
79,0:05:12,0:05:14,SPEAKER 2, Estaré en la escuela el día entero. 
80,0:05:14,0:05:20,SPEAKER 5," Pues yo siento que si ya van a hacer esa inversión, sería bueno laminarlo.  Como laminator. "
81,0:05:20,0:05:22,SPEAKER 2, Así pueden dibujar y pintar. 
82,0:05:22,0:05:25,SPEAKER 5," No solo eso, pero si no es algo como que es recurrente. "
83,0:05:25,0:05:26,SPEAKER 2," Ah, sí. "
84,0:05:26,0:05:28,SPEAKER 5," Si lo quieren usar, siguen usando en el futuro. "
85,0:05:28,0:05:32,SPEAKER 4, Ahí mismo a lo mejor se lo pueden laminar.  Si merece la pena laminarlo. 
86,0:05:32,0:05:34,SPEAKER 1," Sí, podemos ponerlo en la pantalla. "
87,0:05:34,0:05:37,SPEAKER 2, Es que me lo manda el pregunto. 
88,0:05:37,0:05:38,SPEAKER 5, Sí. 
89,0:05:38,0:05:39,SPEAKER 3," Bueno, porque... "
90,0:05:39,0:05:40,SPEAKER 2, ¿Cuánto se demoran también? 
91,0:05:40,0:05:46,SPEAKER 4," Si lo llevan por la mañana, le dicen, me lo pueden llevar para SATAR para dentro de dos horas. "
92,0:05:46,0:05:50,SPEAKER 1," Sí, porque intenté hacerlo en la librería también, pero no pude. "
93,0:05:50,0:05:51,SPEAKER 2, No pude. 
94,0:05:51,0:05:53,SPEAKER 1, ¿Goddesman Library? 
95,0:05:53,0:05:54,SPEAKER 2, Goddesman Library. 
96,0:05:54,0:05:55,SPEAKER 1," Ya, no funcionó. "
97,0:05:55,0:05:56,SPEAKER 2, Bueno. 
98,0:05:56,0:06:08,SPEAKER 1," Ah, no, allí no.  Sí, pero mañana podemos ver y también buscar en nuestros teléfonos.  Ah, en Rofito, que luego pegamos.  Sí.  Sí, porque ahí podemos ver todos los bloques y todo.  Y también por dónde vamos a caminar. "
99,0:06:08,0:06:12,SPEAKER 4, ¿Y cómo sería en grupo entero? 
100,0:06:12,0:06:15,SPEAKER 2," Entonces, si queremos...  Tenemos que empezar. "
101,0:06:15,0:06:19,SPEAKER 1, Podemos empezar en grupo entero y después... 
102,0:06:19,0:06:27,SPEAKER 4," Pero habría que hacer, en los grupos solo tenemos un mapa.  Entonces, un grupo trabaja en mapa, el otro trabaja en Google Maps o algo así, ¿no? "
103,0:06:27,0:06:28,SPEAKER 2," Sí, sí, sí. "
104,0:06:28,0:06:33,SPEAKER 1," Y creo que para buscar, sí, sería mejor usar el teléfono.  ¿En qué Google Maps? "
105,0:06:33,0:06:35,SPEAKER 2, ¿Tienen iPads?  No. 
106,0:06:35,0:06:38,SPEAKER 3, ¿En los iPads no tienen Google Maps? 
107,0:06:38,0:06:42,SPEAKER 2," No.  No, they don't have iPads.  No, pero nosotros tenemos. "
108,0:06:42,0:06:45,SPEAKER 1," No, pero no creo que apoye... "
109,0:06:45,0:06:47,SPEAKER 6, ¿Es eso un mapa de Apple? 
110,0:06:47,0:06:52,SPEAKER 2," Al menos.  Google Maps debe ser una versión antigua.  Oh, está bien. "
111,0:06:52,0:06:54,SPEAKER 6, No creo que se puede usar el teléfono. 
112,0:06:54,0:06:59,SPEAKER 1," Pero podemos imprimir los individuales y tener un gran, gran mapa.  ¿Ves? "
113,0:06:59,0:07:02,SPEAKER 6," Podemos tener el gran mapa al comienzo y decir, bien, ¿qué? "
114,0:07:02,0:07:03,SPEAKER 2," Sí, sí, sí. "
115,0:07:03,0:07:05,SPEAKER 6," Y luego cuando lo separamos, tenemos los pequeños. "
116,0:07:05,0:07:11,SPEAKER 1," Sí, por eso realmente quería el gran mapa hoy.  Pero, ¿sabes? Podríamos ser como, oh, sí, ¿qué sabemos? "
117,0:07:11,0:07:12,SPEAKER 2," Oh, sé, hay algo ahí arriba. "
118,0:07:12,0:07:26,SPEAKER 1," McDonald's, Chick-fil-A, Mirachito, 184.  ¿Sabes?  Pero no podía imprimir en ningún lugar.  Pero podemos tener individual, porque lo hice en un 8x4,  como un cuadro de páginas. "
119,0:07:26,0:07:38,SPEAKER 2," Cada grupo podría tener uno.  ¿Es lo que tengo que imprimir mañana?  Sí.  No te preocupes por...  ¿Qué es eso?  Creo que Belén va a probar.  Así que no estás estresada.  Oh, ok. "
120,0:07:38,0:07:42,SPEAKER 5, ¿Cuánto tamaño tendría una pieza?  ¿Cuánto tamaño podríamos estar hablando? 
121,0:07:42,0:07:48,SPEAKER 1," El individual para grupos sería simplemente una página de cartas.  Pero entonces, el grande que estoy hablando, "
122,0:07:48,0:07:50,SPEAKER 2, ¿cuántas páginas podríamos tener? 
123,0:07:50,0:07:53,SPEAKER 5, ¿Y no quieres proyectarlo y dibujarlo y tener una estación 
124,0:07:53,0:07:55,SPEAKER 2, a la vez para mí?  Esa es otra opción. 
125,0:07:55,0:08:03,SPEAKER 1," Esa es una opción, sí.  Quiero decir, podríamos hacerlo y, ¿sabes?  Google Maps.  Solo pensé que sería genial ver un mapa. "
126,0:08:03,0:08:05,SPEAKER 2, Pero podríamos definitivamente... 
127,0:08:05,0:08:14,SPEAKER 4," Sí, sí.  Con el mapa lo bueno es que podemos añadir, por ejemplo,  post-its donde escriban sus espacios y escriban  o hagan un dibujito de cómo se sienten en ese espacio. "
128,0:08:14,0:08:23,SPEAKER 1," Pero cómo es difícil tener un grande para cada grupo.  Tendríamos el grande, el gigante,  y después cada grupo tiene uno pequeño en letter size. "
129,0:08:23,0:08:26,SPEAKER 4," Sí, entonces son más copias de esos. "
130,0:08:26,0:08:30,SPEAKER 1," Sí, pero esto de grupos puede ser en...  Blanco y negro. "
131,0:08:30,0:08:31,SPEAKER 2," Sí, negro. "
132,0:08:31,0:08:33,SPEAKER 4, Blanco. 
133,0:08:33,0:08:34,SPEAKER 2, Bueno. 
134,0:08:34,0:08:50,SPEAKER 1," Bueno, de todos modos, volviendo, ¿sí?  Y ellos querían buscar esto.  Maureen ya sabía, no recordaba el nombre,  pero ya sabía dónde estaba y todo.  Y después, no, Bonnie, entonces también quiso buscar  la barbería, ¿no? "
135,0:08:50,0:08:53,SPEAKER 2, De su papá.  La barbería de su papá.  Donde trabaja su papá. 
136,0:08:53,0:08:56,SPEAKER 4," Esto creo que debemos ir a estos dos sitios principalmente.  Sí, sí, sí. "
137,0:08:56,0:08:59,SPEAKER 2, Están cerca.  Porque son los papás. 
138,0:08:59,0:09:00,SPEAKER 1," Si no son, ¿dónde están? "
139,0:09:00,0:09:01,SPEAKER 4, La barbería. 
140,0:09:01,0:09:03,SPEAKER 5, La barbería es un lugar seguro. 
141,0:09:03,0:09:15,SPEAKER 3," Siento...  Sí, porque Dariel nos preguntó si podíamos tomar fotos dentro y afuera.  Entonces le dije, tenemos que preguntar porque quería ir a uno de un pollo. "
142,0:09:15,0:09:48,SPEAKER 4," La semana pasada cuando hablamos, estábamos diciendo de ir nosotros hoy.  Estaba pensando que podemos ir ahora a visitarlos.  Estos deben estar aquí cerca.  Ir hasta la casa de Mofongo, el McDonald's, la entrada del metro.  Como pensar una pequeña ruta, dos rutas para dos grupos.  Irían y como los que estamos aquí seríamos los líderes, porque no está Andrea.  Andrea se sentía insegura porque no conoce dónde llevar los niños, normal.  Ángela lo conoce un poco más.  Paulina lo conoce un poco más. "
143,0:09:48,0:09:49,SPEAKER 2, Sí. 
144,0:09:49,0:09:54,SPEAKER 4, Yo también.  Y que Belén...  Tú conoces el sitio de comprar verduras. 
145,0:09:54,0:09:56,SPEAKER 2," Sí, sí.  Siempre vengo por acá. "
146,0:09:56,0:10:02,SPEAKER 4," Pero lo tienes que enseñar, como pensar en dos o tres sitios que cada grupo puede visitar. "
147,0:10:02,0:10:05,SPEAKER 6," Si no sé el grupo, yo tendría que ir con alguien que conozco. "
148,0:10:05,0:10:08,SPEAKER 2," Yo no conozco a nadie.  Pero por eso podemos ir ahora.  Sí, vamos. "
149,0:10:08,0:10:21,SPEAKER 4," Y tú conoces los sitios.  Porque sí está Andrea, que no lo ha visto, porque no está hoy.  ¿Y quién más está enfermo?  Y Cristina tampoco está.  Y bueno, Cristina se conoce.  Yo sé el sitio del pollo, si se lo conoce. "
150,0:10:21,0:10:22,SPEAKER 3, ¿El cual? 
151,0:10:22,0:10:23,SPEAKER 2, El Chick-fil-A. 
152,0:10:23,0:10:24,SPEAKER 1, Chick-fil-A se llama. 
153,0:10:24,0:10:26,SPEAKER 4," Todo el mundo viene a Chick-fil-A este día, no sé si es el sitio del pollo. "
154,0:10:26,0:10:28,SPEAKER 5, Chick-fil-A es como fácil mañana.  Sí. 
155,0:10:28,0:10:32,SPEAKER 2, Como que todo el mundo es Chick-fil-A para ir a Chick-fil-A.  Es donde pasamos toda la semana. 
156,0:10:32,0:10:34,SPEAKER 1," Bueno, y ahí el Target. "
157,0:10:34,0:10:41,SPEAKER 2," Sí.  También podemos ir.  Algunas chicas te dijeron a Claire's.  Ah, por supuesto. "
158,0:10:41,0:10:42,SPEAKER 3," Sí, en el... "
159,0:10:42,0:10:45,SPEAKER 4," Que es Claire's.  Ah, la tienda de cositas del bebé.  En el barrio. "
160,0:10:45,0:10:46,SPEAKER 2, Jodería. 
161,0:10:46,0:10:50,SPEAKER 3," Muy bonito.  Sí, nos dijeron del parque que hay cruzando el puente. "
162,0:10:50,0:10:53,SPEAKER 1, Pero creo que no es muy lejos. 
163,0:10:53,0:10:57,SPEAKER 2," ¿Hybrid?  Sí, iba a decir Hybrid, pero nadie mencionó Hybrid. "
164,0:10:57,0:11:00,SPEAKER 4," Sí, el puente.  Alguien lo dijo.  Ah. "
165,0:11:00,0:11:03,SPEAKER 5," El puente que lleva al Bronx, ¿puede ser? "
166,0:11:03,0:11:04,SPEAKER 2, Sí. 
167,0:11:04,0:11:07,SPEAKER 7," Creo que ella dice que lleva a Connecticut, pero... "
168,0:11:07,0:11:09,SPEAKER 4," Dijo a Connecticut eventualmente, sí. "
169,0:11:09,0:11:10,SPEAKER 2, Sí. 
170,0:11:10,0:11:11,SPEAKER 7," Bronx, sí. "
171,0:11:11,0:11:42,SPEAKER 4," Sí que lo dijo, pero no sé si está muy lejos o no.  Igual la casa de Dylan que está...  Sería bonito pasar por el edificio de alguien también, pero si no conocemos...  Andrea está muy...  Quería que tuviéramos una ruta fija de los sitios donde vamos a ir.  Y es una buena idea.  Y, por ejemplo, en el sitio del Seafood, si fuéramos ahora, podríamos preguntar si  estuviera bien entrar.  Porque si es el papá de uno de ellos. "
172,0:11:42,0:11:46,SPEAKER 5, Se le podría preguntar por mensaje o teléfono. 
173,0:11:46,0:11:49,SPEAKER 4, Solo entrar sin disturbar lo que fuera. 
174,0:11:49,0:11:50,SPEAKER 2," Ah, sí. "
175,0:11:50,0:11:55,SPEAKER 5, ¿Marina es tu alumna?  Sí.  ¿Tú crees que le podrías preguntar al papá? 
176,0:11:55,0:11:57,SPEAKER 2, Sí.  ¿Junior? 
177,0:11:57,0:11:58,SPEAKER 1, Sí. 
178,0:11:58,0:12:03,SPEAKER 2," ¿Junior Seafood?  Sí.  Oh, pero es como bajo...  No.  Ah, vamos a ir. "
179,0:12:03,0:12:04,SPEAKER 5," Ah, para las... "
180,0:12:04,0:12:05,SPEAKER 2, Porque tampoco sabemos... 
181,0:12:05,0:12:06,SPEAKER 4," O sea, bueno, tú sabes. "
182,0:12:06,0:12:07,SPEAKER 2, Podemos pasar a ver si... 
183,0:12:07,0:12:08,SPEAKER 1, Pero no sabemos quién es. 
184,0:12:08,0:12:10,SPEAKER 2, Podemos pasar.  Es que es... 
185,0:12:10,0:12:11,SPEAKER 1, ¿Y la barbería? 
186,0:12:11,0:12:12,SPEAKER 2, ¿Dónde está? 
187,0:12:12,0:12:13,SPEAKER 1, Es como en... 
188,0:12:13,0:12:14,SPEAKER 4, Está en Broadway en 180th. 
189,0:12:14,0:12:19,SPEAKER 1," La casa del Mofongo es más al norte, pero si vamos allá tenemos que ir al oeste también. "
190,0:12:19,0:12:21,SPEAKER 5," Estamos en la casa del Mofongo, como en 180th. "
191,0:12:21,0:12:22,SPEAKER 2, Es aquí. 
192,0:12:22,0:12:23,SPEAKER 3, En Broadway. 
193,0:12:23,0:12:24,SPEAKER 2, Sí. 
194,0:12:24,0:12:26,SPEAKER 1, Así que la casa del Mofongo es como... 
195,0:12:26,0:12:29,SPEAKER 2, ¿Sabes?  El Mofongo está aquí mismo.  Sí. 
196,0:12:29,0:12:35,SPEAKER 1," Aquí.  Pero estamos aquí, de este lado, ¿verdad?  Sí.  Pero su lugar es más al oeste.  Sí, está más hacia abajo.  Sí, sí, sí. "
197,0:12:35,0:12:41,SPEAKER 2, O al oeste.  ¿Alguien vive en la casa del Mofongo?  ¿Sí?  Nosotros.  ¿Nosotros?  Los mayores. 
198,0:12:41,0:12:43,SPEAKER 4, Miranchito.  Es que es enorme. 
199,0:12:43,0:12:45,SPEAKER 2, Es enorme y tiene como el pilón.  Sí. 
200,0:12:45,0:12:46,SPEAKER 5, Hemos ido de happy hour. 
201,0:12:46,0:12:47,SPEAKER 4, Bueno. 
202,0:12:47,0:12:54,SPEAKER 1, Sí.  Pero creo que esa es la ruta que tomamos Marín y un par de otros. 
203,0:12:54,0:12:55,SPEAKER 4," Claro, eso está pensado. "
204,0:12:55,0:12:56,SPEAKER 2, Estamos pensando hacia el oeste. 
205,0:12:56,0:13:05,SPEAKER 1," Así que si elegimos una ruta como esa...  Porque cada grupo tiene una ruta diferente, ¿no?  Un camino diferente. "
206,0:13:05,0:13:06,SPEAKER 2, Sí. 
207,0:13:06,0:13:08,SPEAKER 4, No sé si es mejor...  Dejamos a algunos en la clase. 
208,0:13:08,0:13:10,SPEAKER 2," Sí, sí, sí.  Claro. "
209,0:13:10,0:13:12,SPEAKER 4, Pero...  ¿Nos dará tiempo a hacer... 
210,0:13:12,0:13:18,SPEAKER 6," A intercambiar?  Sí.  Si no es tan largo la caminata.  Sí, porque si salimos de aquí como a las 4 o 10... "
211,0:13:18,0:13:19,SPEAKER 2," Sí, como... "
212,0:13:19,0:13:21,SPEAKER 3, No sé.  Como dos cuadras para allá. 
213,0:13:21,0:13:24,SPEAKER 4," Hay que venir a darte las normas, prepararse y salir de la clase. "
214,0:13:24,0:13:27,SPEAKER 2, Yo creo que nos las vamos a cambiar antes de la clase.  No sé. 
215,0:13:27,0:13:28,SPEAKER 4, Entonces el otro grupo tendría que estar... 
216,0:13:28,0:13:38,SPEAKER 3," Porque si quieren parar a tomar foto o si quieren entrar a una parte, eso toma tiempo.  Porque todos van a querer tomar foto y todos van a querer entrar. "
217,0:13:38,0:13:39,SPEAKER 2, Porque Junior Seafood... 
218,0:13:39,0:13:40,SPEAKER 4," Sí, todos van a llevar su... "
219,0:13:40,0:13:41,SPEAKER 2, Este es Junior Seafood. 
220,0:13:41,0:13:42,SPEAKER 4, Está aquí. 
221,0:13:42,0:13:49,SPEAKER 1," Está como a 10 minutos de aquí, pero lo que pasa es que si caminamos a otro...  Y vemos otros sitios... "
222,0:13:49,0:13:51,SPEAKER 4," Sí, la cosa es ir parando. "
223,0:13:51,0:13:52,SPEAKER 2, Sí. 
224,0:13:52,0:13:53,SPEAKER 1, Donde les interese. 
225,0:13:53,0:13:54,SPEAKER 2, Ese es el final de esa ruta. 
226,0:13:54,0:13:55,SPEAKER 4, Para hacer fotos. 
227,0:13:55,0:13:57,SPEAKER 2, Es aquí.  Ese es. 
228,0:13:57,0:14:01,SPEAKER 4," Sí, sí.  ¿No?  Y quizá les decimos sacar fotos que no tengan personas.  ¿Y dónde está la barbería? "
229,0:14:01,0:14:02,SPEAKER 2, A no ser que les preguntemos. 
230,0:14:02,0:14:04,SPEAKER 4, No están de vuelta.  De acaso nos metemos en el... 
231,0:14:04,0:14:05,SPEAKER 2, Se pone alguien agresivo ahí cada... 
232,0:14:05,0:14:12,SPEAKER 5," Sí, hay que hablar, hay que traerlos primero aquí y hablar de las normas un poquito. "
233,0:14:12,0:14:22,SPEAKER 2," Ese martes estamos a nosotros.  Mi grupo es muy interesada en tierra, parque o bosque para buscar por... "
234,0:14:22,0:14:23,SPEAKER 7, ¿Tesoros? 
235,0:14:23,0:14:24,SPEAKER 2, ¿Tesoros? 
236,0:14:24,0:14:45,SPEAKER 7," Tesoros, sí.  Y entonces...  Estábamos pensando sobre cosas de historia en el parque que parecen como tesoros. "
237,0:14:45,0:14:47,SPEAKER 2, No sé.  Sí. 
238,0:14:47,0:14:48,SPEAKER 7, ¿Cuáles tesoros? 
239,0:14:48,0:14:51,SPEAKER 4, Para el stop motion. 
240,0:14:51,0:14:52,SPEAKER 2, ¿Qué? 
241,0:14:52,0:14:55,SPEAKER 4, Estás pensando para la historia del stop motion. 
242,0:14:55,0:14:56,SPEAKER 2," Ahora no, pero sí, pero... "
243,0:14:56,0:14:58,SPEAKER 7," Eventualmente.  Sí, pero... "
244,0:14:58,0:14:59,SPEAKER 4, Eventualmente las fotos solo van a ser como la base. 
245,0:14:59,0:15:00,SPEAKER 7, Luego estamos pensando hacer tridimensional con plástico o algo. 
246,0:15:00,0:15:07,SPEAKER 4, Recortes.  Sí.  La barbería está más cerca.  ¿Dónde es?  Que el Seafood.  Sí.  Cinco minutos. 
247,0:15:07,0:15:08,SPEAKER 2, Está como... 
248,0:15:08,0:15:09,SPEAKER 4," Pero está en el camino, ¿no? "
249,0:15:09,0:15:11,SPEAKER 2," De camino...  No, son caminos diferentes. "
250,0:15:11,0:15:14,SPEAKER 1, Pero...  Sí.  Sí. 
251,0:15:14,0:15:15,SPEAKER 2, Sí. 
252,0:15:15,0:15:28,SPEAKER 1, Hacemos dos grupos. 
253,0:15:28,0:15:31,SPEAKER 4," Sí.  Bueno, hacemos cuatro.  Y el miércoles los dos. "
254,0:15:31,0:15:32,SPEAKER 1, O cinco. 
255,0:15:32,0:15:33,SPEAKER 2, Porque inicialmente habíamos pensado en seis grupos y dos grupos iban a salir juntos. 
256,0:15:33,0:15:34,SPEAKER 1, Sí. 
257,0:15:34,0:15:35,SPEAKER 2, Sí. 
258,0:15:35,0:15:46,SPEAKER 1, ¿Recuerdo? 
259,0:15:46,0:15:48,SPEAKER 2, Sí.  Sí. 
260,0:15:48,0:16:06,SPEAKER 1," Así que esos dos grupos caminarían a un sitio, no sé, con una ruta fija, y entonces...  Creo que tenemos como tres, tres destinos. "
261,0:16:06,0:16:07,SPEAKER 4, Tres. 
262,0:16:07,0:16:08,SPEAKER 2, ¿Cuántos niños? 
263,0:16:08,0:16:09,SPEAKER 6, Pero ellos quieren llegar hasta el parque. 
264,0:16:09,0:16:10,SPEAKER 2, ¿Tú sabes qué parque es eso? 
265,0:16:10,0:16:12,SPEAKER 6, Creo que es...  ¿Ese es el parque de aquí? 
266,0:16:12,0:16:13,SPEAKER 1, Es el parque de Highbridge. 
267,0:16:13,0:16:15,SPEAKER 2," No, para mí, I'm a learner.  I'm learning about the community. "
268,0:16:15,0:16:16,SPEAKER 6, Los grupos más pequeños serán los más interactivos. 
269,0:16:16,0:16:17,SPEAKER 2, Creo que... 
270,0:16:17,0:16:20,SPEAKER 6, Porque estaban...  Están apuñalados.  Están hablando del parque de Highbridge. 
271,0:16:20,0:16:22,SPEAKER 2, No.  No. 
272,0:16:22,0:16:23,SPEAKER 7, No. 
273,0:16:23,0:16:28,SPEAKER 2, Estaban explicando eso. 
274,0:16:28,0:16:31,SPEAKER 3, Era el que dije. 
275,0:16:31,0:16:33,SPEAKER 2, Raisse lean. 
276,0:16:33,0:16:38,SPEAKER 1," Creo que es como un parque, esa es como detrás del colegio o algo así.  ¿Detrás del colegio de aquí? "
