Audio File : whispy\apr_25\042523_meeting.wav             
Pipeline : pyannote/speaker-diarization
                    
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 08:50:57          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                    
[ 00:00:00.750 -->  00:00:06.488] IL SPEAKER_04
[ 00:18:05.003 -->  00:18:05.627] PG SPEAKER_06
[ 00:18:14.554 -->  00:18:21.135] RV SPEAKER_08
[ 00:18:20.427 -->  00:18:24.004] KB SPEAKER_04
[ 00:18:22.992 -->  00:18:27.953] RW SPEAKER_08
[ 00:18:26.282 -->  00:18:32.189] KC SPEAKER_04
[ 00:18:30.923 -->  00:18:35.209] BI SPEAKER_01
[ 00:18:33.572 -->  00:18:39.968] QJ SPEAKER_07
[ 00:18:37.555 -->  00:18:43.664] KD SPEAKER_04
[ 00:18:42.550 -->  00:18:46.667] QK SPEAKER_07
[ 00:18:47.511 -->  00:18:49.384] QL SPEAKER_07
[ 00:18:49.384 -->  00:18:52.439] BJ SPEAKER_01
[ 00:18:50.650 -->  00:18:57.113] KE SPEAKER_04
[ 00:18:52.219 -->  00:18:54.075] GL SPEAKER_03
[ 00:18:54.075 -->  00:18:54.261] BK SPEAKER_01
[ 00:18:55.358 -->  00:19:01.045] BL SPEAKER_01
[ 00:18:57.113 -->  00:18:57.214] GM SPEAKER_03
[ 00:18:58.902 -->  00:18:59.627] KF SPEAKER_04
[ 00:19:00.775 -->  00:19:13.212] KG SPEAKER_04
[ 00:19:11.271 -->  00:20:05.288] L SPEAKER_00
[ 00:19:34.457 -->  00:19:35.993] VD SPEAKER_10
[ 00:19:44.144 -->  00:19:45.797] BM SPEAKER_01
[ 00:20:06.689 -->  00:20:22.450] M SPEAKER_00
[ 00:20:17.843 -->  00:20:20.037] GN SPEAKER_03
[ 00:20:21.285 -->  00:20:25.977] EH SPEAKER_02
[ 00:20:23.547 -->  00:20:24.947] KH SPEAKER_04
[ 00:20:24.002 -->  00:20:27.749] BN SPEAKER_01
[ 00:20:25.977 -->  00:20:36.996] KI SPEAKER_04
[ 00:20:37.671 -->  00:20:41.063] KJ SPEAKER_04
[ 00:20:40.169 -->  00:20:43.527] BO SPEAKER_01
[ 00:20:41.620 -->  00:20:50.344] QM SPEAKER_07
[ 00:20:47.543 -->  00:20:54.917] N SPEAKER_00
[ 00:20:54.445 -->  00:20:54.681] GO SPEAKER_03
[ 00:20:56.841 -->  00:20:57.904] KK SPEAKER_04
[ 00:20:59.018 -->  00:21:13.564] KL SPEAKER_04
[ 00:20:59.102 -->  00:21:00.317] GP SPEAKER_03
[ 00:21:12.332 -->  00:21:23.453] O SPEAKER_00
[ 00:21:13.564 -->  00:21:14.189] VE SPEAKER_10
[ 00:21:14.189 -->  00:21:14.779] KM SPEAKER_04
[ 00:21:17.057 -->  00:21:17.682] TK SPEAKER_09
[ 00:21:25.124 -->  00:21:26.811] BP SPEAKER_01
[ 00:21:25.765 -->  00:21:31.975] P SPEAKER_00
[ 00:21:33.257 -->  00:21:37.105] Q SPEAKER_00
[ 00:21:33.342 -->  00:21:35.080] GQ SPEAKER_03
[ 00:21:37.476 -->  00:21:43.450] KN SPEAKER_04
[ 00:21:39.720 -->  00:21:40.007] NT SPEAKER_05
[ 00:21:40.007 -->  00:21:41.003] GR SPEAKER_03
[ 00:21:41.003 -->  00:21:41.695] PH SPEAKER_06
[ 00:21:42.100 -->  00:21:46.943] R SPEAKER_00
[ 00:21:43.450 -->  00:21:44.732] PI SPEAKER_06
[ 00:21:45.846 -->  00:21:45.947] PJ SPEAKER_06
[ 00:21:46.943 -->  00:21:55.043] KO SPEAKER_04
[ 00:21:53.490 -->  00:22:17.993] EI SPEAKER_02
[ 00:22:00.865 -->  00:22:01.979] S SPEAKER_00
[ 00:22:12.660 -->  00:22:12.998] VU SPEAKER_11
[ 00:22:15.749 -->  00:22:16.204] GS SPEAKER_03
[ 00:22:18.820 -->  00:22:18.989] EJ SPEAKER_02
[ 00:22:19.984 -->  00:22:20.642] EK SPEAKER_02
[ 00:22:20.642 -->  00:22:46.596] T SPEAKER_00
[ 00:22:21.992 -->  00:22:22.566] GT SPEAKER_03
[ 00:22:38.361 -->  00:22:38.462] GU SPEAKER_03
[ 00:22:47.305 -->  00:22:53.937] U SPEAKER_00
[ 00:22:53.937 -->  00:22:57.936] EL SPEAKER_02
[ 00:22:54.915 -->  00:22:57.008] V SPEAKER_00
[ 00:22:55.995 -->  00:22:56.316] KP SPEAKER_04
[ 00:22:57.008 -->  00:23:00.940] KQ SPEAKER_04
[ 00:22:57.936 -->  00:23:03.690] W SPEAKER_00
[ 00:23:00.940 -->  00:23:01.193] GV SPEAKER_03
[ 00:23:03.690 -->  00:23:19.688] RX SPEAKER_08
[ 00:23:08.129 -->  00:23:11.622] TL SPEAKER_09
[ 00:23:08.500 -->  00:23:09.006] VF SPEAKER_10
[ 00:23:10.947 -->  00:23:11.267] VG SPEAKER_10
[ 00:23:17.444 -->  00:23:25.493] X SPEAKER_00
[ 00:23:23.805 -->  00:23:33.947] KR SPEAKER_04
[ 00:23:26.117 -->  00:23:26.691] Y SPEAKER_00
[ 00:23:27.383 -->  00:23:28.851] Z SPEAKER_00
[ 00:23:32.834 -->  00:23:34.167] AA SPEAKER_00
[ 00:23:33.947 -->  00:23:44.444] EM SPEAKER_02
[ 00:23:35.955 -->  00:23:36.006] VV SPEAKER_11
[ 00:23:39.044 -->  00:23:39.938] VW SPEAKER_11
[ 00:23:39.449 -->  00:23:40.664] TM SPEAKER_09
[ 00:23:40.664 -->  00:23:42.503] VX SPEAKER_11
[ 00:23:42.503 -->  00:23:50.721] AB SPEAKER_00
[ 00:23:51.936 -->  00:23:56.290] BQ SPEAKER_01
[ 00:23:56.155 -->  00:23:58.281] KS SPEAKER_04
[ 00:23:58.872 -->  00:24:00.239] KT SPEAKER_04
[ 00:24:00.914 -->  00:24:20.961] KU SPEAKER_04
[ 00:24:19.544 -->  00:24:19.982] GW SPEAKER_03
[ 00:24:21.788 -->  00:24:24.809] KV SPEAKER_04
[ 00:24:25.754 -->  00:24:26.985] KW SPEAKER_04
[ 00:24:27.998 -->  00:24:53.749] KX SPEAKER_04
[ 00:24:54.576 -->  00:25:01.208] KY SPEAKER_04
[ 00:25:01.073 -->  00:25:47.142] BR SPEAKER_01
[ 00:25:17.189 -->  00:25:17.492] GX SPEAKER_03
[ 00:25:17.492 -->  00:25:17.864] KZ SPEAKER_04
[ 00:25:47.699 -->  00:26:03.359] LA SPEAKER_04
[ 00:25:58.769 -->  00:25:59.005] BS SPEAKER_01
[ 00:26:04.607 -->  00:26:48.955] LB SPEAKER_04
[ 00:26:40.433 -->  00:26:40.872] NU SPEAKER_05
[ 00:26:48.077 -->  00:26:55.806] BT SPEAKER_01
[ 00:26:56.515 -->  00:27:03.687] BU SPEAKER_01
[ 00:27:03.282 -->  00:27:05.779] EN SPEAKER_02
[ 00:27:04.598 -->  00:27:09.795] BV SPEAKER_01
[ 00:27:08.226 -->  00:27:13.440] LC SPEAKER_04
[ 00:27:11.230 -->  00:27:11.787] BW SPEAKER_01
[ 00:27:11.787 -->  00:27:14.909] GY SPEAKER_03
[ 00:27:12.495 -->  00:27:12.614] EO SPEAKER_02
[ 00:27:13.440 -->  00:27:13.626] EP SPEAKER_02
[ 00:27:13.626 -->  00:27:14.335] BX SPEAKER_01
[ 00:27:14.504 -->  00:27:45.132] EQ SPEAKER_02
[ 00:27:33.218 -->  00:27:36.154] AC SPEAKER_00
[ 00:27:40.677 -->  00:27:41.419] BY SPEAKER_01
[ 00:27:45.132 -->  00:27:57.940] BZ SPEAKER_01
[ 00:27:47.747 -->  00:27:48.962] QN SPEAKER_07
[ 00:27:47.798 -->  00:27:47.815] GZ SPEAKER_03
[ 00:27:51.899 -->  00:27:51.949] QO SPEAKER_07
[ 00:27:51.949 -->  00:27:52.000] AD SPEAKER_00
[ 00:27:52.000 -->  00:27:53.502] HA SPEAKER_03
[ 00:27:53.502 -->  00:27:54.970] QP SPEAKER_07
[ 00:27:54.970 -->  00:27:55.915] HB SPEAKER_03
[ 00:27:56.978 -->  00:28:05.483] QQ SPEAKER_07
[ 00:27:57.940 -->  00:27:57.957] ER SPEAKER_02
[ 00:27:58.682 -->  00:27:58.834] ES SPEAKER_02
[ 00:27:58.834 -->  00:27:59.560] CA SPEAKER_01
[ 00:27:59.560 -->  00:27:59.779] ET SPEAKER_02
[ 00:28:03.762 -->  00:28:21.447] CB SPEAKER_01
[ 00:28:05.483 -->  00:28:07.272] HC SPEAKER_03
[ 00:28:06.799 -->  00:28:06.934] QR SPEAKER_07
[ 00:28:08.942 -->  00:28:08.993] AE SPEAKER_00
[ 00:28:08.993 -->  00:28:13.937] TN SPEAKER_09
[ 00:28:13.937 -->  00:28:17.954] AF SPEAKER_00
[ 00:28:18.224 -->  00:28:18.899] QS SPEAKER_07
[ 00:28:20.687 -->  00:28:23.455] QT SPEAKER_07
[ 00:28:24.670 -->  00:28:25.682] QU SPEAKER_07
[ 00:28:25.446 -->  00:28:34.052] CC SPEAKER_01
[ 00:28:26.492 -->  00:28:28.332] VY SPEAKER_11
[ 00:28:29.985 -->  00:28:30.390] VZ SPEAKER_11
[ 00:28:32.078 -->  00:28:35.200] WA SPEAKER_11
[ 00:28:32.939 -->  00:28:38.507] QV SPEAKER_07
[ 00:28:35.993 -->  00:28:41.444] NV SPEAKER_05
[ 00:28:37.883 -->  00:28:37.950] WB SPEAKER_11
[ 00:28:38.507 -->  00:28:38.794] CD SPEAKER_01
[ 00:28:39.992 -->  00:28:40.634] CE SPEAKER_01
[ 00:28:41.444 -->  00:28:45.004] CF SPEAKER_01
[ 00:28:45.004 -->  00:28:55.450] LD SPEAKER_04
[ 00:28:47.485 -->  00:28:47.502] CG SPEAKER_01
[ 00:28:53.813 -->  00:28:53.999] NW SPEAKER_05
[ 00:28:53.999 -->  00:29:03.752] CH SPEAKER_01
[ 00:28:55.450 -->  00:28:56.429] NX SPEAKER_05
[ 00:28:55.905 -->  00:28:57.239] HD SPEAKER_03
[ 00:29:02.048 -->  00:29:08.089] PK SPEAKER_06
[ 00:29:06.959 -->  00:29:08.224] NY SPEAKER_05
[ 00:29:07.617 -->  00:29:08.832] LE SPEAKER_04
[ 00:29:08.089 -->  00:29:10.840] CI SPEAKER_01
[ 00:29:09.827 -->  00:29:10.452] LF SPEAKER_04
[ 00:29:10.452 -->  00:29:13.439] AG SPEAKER_00
[ 00:29:12.780 -->  00:29:48.488] CJ SPEAKER_01
[ 00:29:13.439 -->  00:29:13.557] HE SPEAKER_03
[ 00:29:31.191 -->  00:29:31.410] HF SPEAKER_03
[ 00:29:50.192 -->  00:30:06.831] LG SPEAKER_04
[ 00:29:55.289 -->  00:29:55.508] HG SPEAKER_03
[ 00:29:55.508 -->  00:29:55.744] AH SPEAKER_00
[ 00:30:00.992 -->  00:30:02.292] CK SPEAKER_01
[ 00:30:06.764 -->  00:30:18.694] CL SPEAKER_01
[ 00:30:08.417 -->  00:30:08.451] LH SPEAKER_04
[ 00:30:18.694 -->  00:30:23.250] LI SPEAKER_04
[ 00:30:23.841 -->  00:30:34.506] AI SPEAKER_00
[ 00:30:32.464 -->  00:30:33.274] VH SPEAKER_10
[ 00:30:33.274 -->  00:31:21.385] TO SPEAKER_09
[ 00:31:06.602 -->  00:31:07.919] RY SPEAKER_08
[ 00:31:21.030 -->  00:31:25.823] LJ SPEAKER_04
[ 00:31:22.009 -->  00:31:22.448] TP SPEAKER_09
[ 00:31:23.933 -->  00:31:38.901] TQ SPEAKER_09
[ 00:31:39.694 -->  00:31:41.517] TR SPEAKER_09
[ 00:31:42.192 -->  00:32:14.440] TS SPEAKER_09
[ 00:31:54.629 -->  00:31:56.687] LK SPEAKER_04
[ 00:31:56.687 -->  00:31:56.822] HH SPEAKER_03
[ 00:32:04.517 -->  00:32:04.770] CM SPEAKER_01
[ 00:32:06.745 -->  00:32:07.403] PL SPEAKER_06
[ 00:32:12.533 -->  00:32:14.170] NZ SPEAKER_05
[ 00:32:13.444 -->  00:32:18.962] LL SPEAKER_04
[ 00:32:16.870 -->  00:32:38.419] EU SPEAKER_02
[ 00:32:21.004 -->  00:32:25.189] TT SPEAKER_09
[ 00:32:29.138 -->  00:32:34.200] VI SPEAKER_10
[ 00:32:36.040 -->  00:32:36.259] WC SPEAKER_11
[ 00:32:38.419 -->  00:32:45.962] WD SPEAKER_11
[ 00:32:45.962 -->  00:32:53.944] LM SPEAKER_04
[ 00:32:52.746 -->  00:33:01.234] EV SPEAKER_02
[ 00:32:53.944 -->  00:32:54.822] OA SPEAKER_05
[ 00:33:00.154 -->  00:33:01.487] WE SPEAKER_11
[ 00:33:02.466 -->  00:33:02.584] WF SPEAKER_11
[ 00:33:02.584 -->  00:33:05.149] TU SPEAKER_09
[ 00:33:03.715 -->  00:33:04.542] LN SPEAKER_04
[ 00:33:05.909 -->  00:33:21.501] TV SPEAKER_09
[ 00:33:20.995 -->  00:33:21.535] LO SPEAKER_04
[ 00:33:22.395 -->  00:33:26.867] LP SPEAKER_04
[ 00:33:26.108 -->  00:33:28.437] TW SPEAKER_09
[ 00:33:27.492 -->  00:33:35.558] QW SPEAKER_07
[ 00:33:30.377 -->  00:33:32.436] TX SPEAKER_09
[ 00:33:33.786 -->  00:33:40.452] LQ SPEAKER_04
[ 00:33:34.950 -->  00:33:35.102] PM SPEAKER_06
[ 00:33:40.452 -->  00:33:40.958] OB SPEAKER_05
[ 00:33:44.384 -->  00:33:48.467] QX SPEAKER_07
[ 00:33:45.008 -->  00:33:51.150] AJ SPEAKER_00
[ 00:33:51.589 -->  00:34:14.624] LR SPEAKER_04
[ 00:34:14.624 -->  00:34:16.176] EW SPEAKER_02
[ 00:34:17.391 -->  00:34:17.813] EX SPEAKER_02
[ 00:34:17.813 -->  00:34:18.707] LS SPEAKER_04
[ 00:34:19.467 -->  00:34:19.500] LT SPEAKER_04
[ 00:34:19.500 -->  00:34:20.817] TY SPEAKER_09
[ 00:34:20.817 -->  00:34:23.939] RZ SPEAKER_08
[ 00:34:21.306 -->  00:34:29.592] WG SPEAKER_11
[ 00:34:22.808 -->  00:34:24.006] TZ SPEAKER_09
[ 00:34:24.006 -->  00:34:26.959] EY SPEAKER_02
[ 00:34:30.284 -->  00:34:32.579] WH SPEAKER_11
[ 00:34:32.849 -->  00:34:38.957] UA SPEAKER_09
[ 00:34:37.000 -->  00:34:50.162] EZ SPEAKER_02
[ 00:34:48.222 -->  00:34:48.677] LU SPEAKER_04
[ 00:34:50.162 -->  00:34:52.744] LV SPEAKER_04
[ 00:34:54.145 -->  00:35:04.422] LW SPEAKER_04
[ 00:35:05.316 -->  00:35:05.654] LX SPEAKER_04
[ 00:35:06.632 -->  00:35:16.639] LY SPEAKER_04
[ 00:35:11.273 -->  00:35:11.914] OC SPEAKER_05
[ 00:35:18.749 -->  00:35:25.701] LZ SPEAKER_04
[ 00:35:25.920 -->  00:35:42.492] UB SPEAKER_09
[ 00:35:43.099 -->  00:36:23.498] UC SPEAKER_09
[ 00:36:03.248 -->  00:36:04.530] AK SPEAKER_00
[ 00:36:13.525 -->  00:36:15.111] MA SPEAKER_04
[ 00:36:22.874 -->  00:36:25.827] MB SPEAKER_04
[ 00:36:23.498 -->  00:36:49.688] SA SPEAKER_08
[ 00:36:37.420 -->  00:36:39.124] UD SPEAKER_09
[ 00:36:50.414 -->  00:37:00.825] SB SPEAKER_08
[ 00:36:57.180 -->  00:37:03.745] CN SPEAKER_01
[ 00:37:01.821 -->  00:37:06.495] SC SPEAKER_08
[ 00:37:06.495 -->  00:37:07.829] CO SPEAKER_01
[ 00:37:07.424 -->  00:37:29.783] SD SPEAKER_08
[ 00:37:07.829 -->  00:37:08.385] PN SPEAKER_06
[ 00:37:29.783 -->  00:37:31.504] CP SPEAKER_01
[ 00:37:31.504 -->  00:37:44.920] SE SPEAKER_08
[ 00:37:43.975 -->  00:37:47.063] CQ SPEAKER_01
[ 00:37:47.063 -->  00:37:47.721] QY SPEAKER_07
[ 00:37:47.721 -->  00:37:50.927] CR SPEAKER_01
[ 00:37:48.531 -->  00:37:52.007] QZ SPEAKER_07
[ 00:37:52.007 -->  00:38:04.410] MC SPEAKER_04
[ 00:38:03.347 -->  00:38:06.132] CS SPEAKER_01
[ 00:38:06.132 -->  00:38:19.193] MD SPEAKER_04
[ 00:38:13.675 -->  00:38:13.962] OD SPEAKER_05
[ 00:38:17.404 -->  00:38:39.544] SF SPEAKER_08
[ 00:38:24.593 -->  00:38:25.200] HI SPEAKER_03
