[0:00:00 -> 0:00:02]  Alright, let me...
[0:02:16 -> 0:02:18]  Keisha was doing the heart because she said she had finished her movie already.
[0:02:18 -> 0:02:20]  And she was just making the heart for fun.
[0:02:20 -> 0:02:22]  She's using that as her background,
[0:02:22 -> 0:02:24]  instead of a photo.
[0:02:24 -> 0:02:26]  That's a background.
[0:02:26 -> 0:02:28]  But I kept telling her,
[0:02:28 -> 0:02:30]  you need to also make your characters,
[0:02:30 -> 0:02:32]  I don't think she has yet.
[0:02:32 -> 0:02:34]  She will.
[0:02:34 -> 0:02:36]  So you think that maybe telling them,
[0:02:36 -> 0:02:38]  you said, I wish we had told them before.
[0:02:38 -> 0:02:40]  I wish we had started off by doing my demonstration,
[0:02:40 -> 0:02:42]  because in my demonstration,
[0:02:42 -> 0:02:44]  I was slash still am going to show
[0:02:44 -> 0:02:46]  standing up 3D.
[0:02:46 -> 0:02:48]  So we didn't create a model in the end?
[0:02:48 -> 0:02:50]  No, we were going to show it tomorrow,
[0:02:50 -> 0:02:52]  because today was just supposed to be
[0:02:52 -> 0:02:54]  finishing up the writing,
[0:02:54 -> 0:02:56]  and for those who had already finished it,
[0:02:56 -> 0:02:58]  working with me personally.
[0:02:58 -> 0:03:00]  That's fine.
[0:03:00 -> 0:03:02]  I think we should still show them.
[0:03:02 -> 0:03:04]  It's nice that we saw this today,
[0:03:04 -> 0:03:06]  the first way of starting.
[0:03:06 -> 0:03:08]  This is great.
[0:03:08 -> 0:03:10]  This is the learning process happening.
[0:03:10 -> 0:03:12]  It's older, because I think, well, Marin is older,
[0:03:12 -> 0:03:14]  but some of the kids instinctively did 3D too.
[0:03:14 -> 0:03:16]  Yes.
[0:03:16 -> 0:03:18]  It just depended on.
[0:03:18 -> 0:03:20]  I only saw Marin.
[0:03:20 -> 0:03:22]  Dylan, Isabelle.
[0:03:22 -> 0:03:24]  Who? That group?
[0:03:24 -> 0:03:26]  Yes, because she's like, well, I'm doing this.
[0:03:26 -> 0:03:28]  I didn't see that group today.
[0:03:28 -> 0:03:30]  But Dariel,
[0:03:30 -> 0:03:32]  he started 3D.
[0:03:32 -> 0:03:34]  Yes, he made a little bus.
[0:03:34 -> 0:03:36]  Car.
[0:03:36 -> 0:03:38]  Yes, like a car.
[0:03:38 -> 0:03:40]  For the car that was going to hit the other car,
[0:03:40 -> 0:03:42]  I was going to push him
[0:03:42 -> 0:03:44]  on the way to the beach.
[0:03:44 -> 0:03:46]  For the car that was driving him to the beach.
[0:03:46 -> 0:03:48]  Another car was going to hit them.
[0:03:48 -> 0:03:50]  And he was going to push them
[0:03:50 -> 0:03:52]  faster to the beach.
[0:03:52 -> 0:03:54]  But the car that hit them was going to be destroyed.
[0:03:54 -> 0:03:56]  But not them, because the car was very strong.
[0:03:56 -> 0:03:58]  Oh, that's good.
[0:03:58 -> 0:04:00]  That's good to hear.
[0:04:00 -> 0:04:02]  And Dadan made them,
[0:04:02 -> 0:04:04]  but he wanted to do it
[0:04:04 -> 0:04:06]  three-dimensional,
[0:04:06 -> 0:04:08]  but they were too heavy.
[0:04:08 -> 0:04:10]  I was worried about that
[0:04:10 -> 0:04:12]  with the Play-Doh.
[0:04:12 -> 0:04:14]  It's kind of a problem.
[0:04:14 -> 0:04:16]  I can make the legs bigger and the top smaller.
[0:04:16 -> 0:04:18]  But you know what?
[0:04:18 -> 0:04:20]  I saw that Daniel started doing it.
[0:04:20 -> 0:04:22]  He used one of the clips
[0:04:22 -> 0:04:24]  that I used for the paper.
[0:04:24 -> 0:04:26]  And he started molding
[0:04:26 -> 0:04:28]  with the clay.
[0:04:28 -> 0:04:30]  I was thinking of that today.
[0:04:30 -> 0:04:32]  They figured out the tool.
[0:04:32 -> 0:04:34]  It could be helpful to get stuff to stand too,
[0:04:34 -> 0:04:36]  to reinforce it.
[0:04:36 -> 0:04:38]  So there were,
[0:04:38 -> 0:04:40]  Jordani and Daniel were finding ways
[0:04:40 -> 0:04:42]  that it would stand up.
[0:04:42 -> 0:04:44]  And they were using one clip,
[0:04:44 -> 0:04:46]  so they were kind of fighting over the clip.
[0:04:46 -> 0:04:50]  Like, I want it because I want my character to stand.
[0:04:50 -> 0:04:52]  I don't know if it helps or if it made it worse,
[0:04:52 -> 0:04:54]  but I proactively helped Nathan make it tiny.
[0:04:54 -> 0:04:56]  Yeah.
[0:04:56 -> 0:04:58]  So it would stand and you would use less.
[0:04:58 -> 0:05:00]  Yeah.
[0:05:00 -> 0:05:02]  I don't know how we're going to get some of these figures
[0:05:02 -> 0:05:04]  inside the box.
[0:05:04 -> 0:05:06]  We can just move it close.
[0:05:06 -> 0:05:08]  They could make it outside.
[0:05:08 -> 0:05:10]  Why restrict them to...
[0:05:10 -> 0:05:12]  a box.
[0:05:12 -> 0:05:14]  One thing is the flatness.
[0:05:14 -> 0:05:16]  Then when they make it three-dimensional,
[0:05:16 -> 0:05:18]  we have the weight problem.
[0:05:18 -> 0:05:20]  I would let them explore.
[0:05:20 -> 0:05:22]  That's part of the artistic process of learning.
[0:05:22 -> 0:05:24]  That's what I was going to say.
[0:05:24 -> 0:05:26]  The art process is in that.
[0:05:26 -> 0:05:28]  It's in realizing that it's too heavy.
[0:05:28 -> 0:05:30]  How do I make it work?
[0:05:30 -> 0:05:32]  Limitations and possibilities of the materials.
[0:05:32 -> 0:05:34]  I know we want things to go fast,
[0:05:34 -> 0:05:36]  but that's really the learning.
[0:05:36 -> 0:05:38]  Yeah, I think it's okay that it...
[0:05:38 -> 0:05:40]  Jayden had a story that
[0:05:40 -> 0:05:42]  began in the morning
[0:05:42 -> 0:05:44]  and then finished in the middle of the night.
[0:05:44 -> 0:05:46]  But when I told him,
[0:05:46 -> 0:05:48]  well, you should have a different background
[0:05:48 -> 0:05:50]  because it's night.
[0:05:50 -> 0:05:52]  So he just changed the time.
[0:05:52 -> 0:05:54]  Oh, never mind.
[0:05:54 -> 0:05:56]  Jayden is so thinking about it.
[0:05:56 -> 0:05:58]  But he was very aware
[0:05:58 -> 0:06:00]  of what time to put
[0:06:00 -> 0:06:02]  and to make sure that it says a.m.
[0:06:02 -> 0:06:04]  to make sure that the story
[0:06:04 -> 0:06:06]  is still in the middle of the night.
[0:06:06 -> 0:06:08]  And to make sure that the story
[0:06:08 -> 0:06:10]  is still in the morning.
[0:06:10 -> 0:06:12]  Because he wanted to,
[0:06:12 -> 0:06:14]  after the fight was too long,
[0:06:14 -> 0:06:16]  they were just tired and left.
[0:06:16 -> 0:06:18]  So he wrote for us 9.30 a.m.
[0:06:18 -> 0:06:20]  on the first scene.
[0:06:20 -> 0:06:22]  And then on the last one,
[0:06:22 -> 0:06:24]  it was like 11 p.m.
[0:06:24 -> 0:06:26]  Long fight.
[0:06:26 -> 0:06:28]  This was Jayden?
[0:06:28 -> 0:06:30]  Yes.
[0:06:30 -> 0:06:32]  And then when I told him
[0:06:32 -> 0:06:34]  that he will have to have
[0:06:34 -> 0:06:36]  he just went to the last one,
[0:06:36 -> 0:06:38]  he erased the time
[0:06:38 -> 0:06:40]  and put 10 a.m.
[0:06:40 -> 0:06:42]  I said, no, 30 minutes.
[0:06:42 -> 0:06:44]  Realistic.
[0:06:44 -> 0:06:46]  I think they'll figure out
[0:06:46 -> 0:06:48]  part of the photographing,
[0:06:48 -> 0:06:50]  capturing the animation process
[0:06:50 -> 0:06:52]  is going to be changing their models
[0:06:52 -> 0:06:54]  still to make it work.
[0:06:54 -> 0:06:56]  Even if that means
[0:06:56 -> 0:06:58]  they transform throughout.
[0:06:58 -> 0:07:00]  That's okay.
[0:07:00 -> 0:07:02]  There's a lot of detail.
[0:07:02 -> 0:07:04]  It's interesting to see
[0:07:04 -> 0:07:06]  who focused on what.
[0:07:06 -> 0:07:08]  He was like,
[0:07:08 -> 0:07:10]  I need to do the buttons.
[0:07:10 -> 0:07:12]  He was looking for all these colors.
[0:07:12 -> 0:07:14]  I'm not going to do it anymore
[0:07:14 -> 0:07:16]  because I don't have my colors.
[0:07:16 -> 0:07:18]  It was interesting because
[0:07:18 -> 0:07:20]  there was a lot of learning too
[0:07:20 -> 0:07:22]  in terms of sharing and asking for things.
[0:07:22 -> 0:07:24]  Because I think it's one thing
[0:07:24 -> 0:07:26]  he particularly also struggles with.
[0:07:26 -> 0:07:28]  Everyone does.
[0:07:28 -> 0:07:30]  Just walking around
[0:07:30 -> 0:07:32]  holding a stamp,
[0:07:32 -> 0:07:34]  look for it, find the person,
[0:07:34 -> 0:07:36]  ask them if they have anything left.
[0:07:36 -> 0:07:38]  Colors.
[0:07:38 -> 0:07:40]  There was very little.
[0:07:40 -> 0:07:42]  Use what you can with what you have.
[0:07:42 -> 0:07:44]  Did we run out of clay?
[0:07:44 -> 0:07:46]  No.
[0:07:46 -> 0:07:48]  Because a lot of the kids
[0:07:48 -> 0:07:50]  made a huge...
[0:07:50 -> 0:07:52]  They wanted specific colors.
[0:07:52 -> 0:07:54]  I gave my son some bottles.
[0:07:56 -> 0:07:58]  He mixed everything together
[0:07:58 -> 0:08:00]  and he made a big box
[0:08:00 -> 0:08:02]  that has different layers.
[0:08:02 -> 0:08:04]  He cut it in half.
[0:08:04 -> 0:08:06]  This is like a piece of art.
[0:08:06 -> 0:08:08]  It looks beautiful.
[0:08:08 -> 0:08:10]  They just love the amount.
[0:08:10 -> 0:08:12]  Layers is like the earth,
[0:08:12 -> 0:08:14]  but it looks beautiful.
[0:08:14 -> 0:08:16]  I have to tell Keisha
[0:08:16 -> 0:08:18]  I like what it looks like,
[0:08:18 -> 0:08:20]  but you're using a lot of Play-Doh
[0:08:20 -> 0:08:22]  to make it.
[0:08:22 -> 0:08:24]  You have to privilege
[0:08:24 -> 0:08:26]  the artistic process, Joe,
[0:08:26 -> 0:08:28]  and the creation.
[0:08:28 -> 0:08:30]  I just didn't want us to run out of
[0:08:30 -> 0:08:32]  any certain colors for other students.
[0:08:32 -> 0:08:34]  She shared in the end.
[0:08:34 -> 0:08:36]  She made more, of course,
[0:08:36 -> 0:08:38]  because she used colors.
[0:08:38 -> 0:08:40]  She came and she was asking.
[0:08:40 -> 0:08:42]  She was asking,
[0:08:42 -> 0:08:44]  can I take a little bit of that
[0:08:44 -> 0:08:46]  to balance?
[0:08:46 -> 0:08:48]  I think there was a lot of learning
[0:08:48 -> 0:08:50]  in that sense,
[0:08:50 -> 0:08:52]  asking someone for it.
[0:08:52 -> 0:08:54]  That's learning in itself.
[0:08:54 -> 0:08:56]  He didn't cry.
[0:08:56 -> 0:08:58]  He was like, ah.
[0:08:58 -> 0:09:00]  But then he was fine.
[0:09:00 -> 0:09:02]  In two minutes he got up
[0:09:02 -> 0:09:04]  and was like, yeah, let's walk around.
[0:09:04 -> 0:09:06]  I think that there was a little bit of that.
[0:09:06 -> 0:09:08]  I was thinking that
[0:09:08 -> 0:09:10]  when we have less colors,
[0:09:10 -> 0:09:12]  they have to think
[0:09:12 -> 0:09:14]  how to create colors.
[0:09:14 -> 0:09:16]  Like, if I put this one
[0:09:16 -> 0:09:18]  with this one.
[0:09:18 -> 0:09:20]  I was not thinking of that,
[0:09:20 -> 0:09:22]  but I was thinking if they get to that part,
[0:09:22 -> 0:09:24]  I'm out of X color.
[0:09:24 -> 0:09:26]  Do they mix well?
[0:09:26 -> 0:09:28]  Yeah, they mix.
[0:09:28 -> 0:09:30]  Actually, at the end,
[0:09:30 -> 0:09:32]  Jayden was mixing
[0:09:32 -> 0:09:34]  pink and yellow
[0:09:34 -> 0:09:36]  and he realized it was orange.
[0:09:36 -> 0:09:38]  So he was like, oh.
[0:09:38 -> 0:09:40]  At one point, Dylan
[0:09:40 -> 0:09:42]  came over and grabbed brown.
[0:09:42 -> 0:09:44]  He said, this is the color of my dad's skin.
[0:09:44 -> 0:09:46]  He said, I need orange, too.
[0:09:46 -> 0:09:48]  He needed a little orange, I guess.
[0:09:48 -> 0:09:50]  At one point,
[0:09:50 -> 0:09:52]  Isabel was mixing orange and white
[0:09:52 -> 0:09:54]  to make a peach color.
[0:09:54 -> 0:09:56]  She made it and said, oh, this kind of looks like your skin color.
[0:09:56 -> 0:09:58]  I'm not sure.
[0:09:58 -> 0:10:00]  And then Dylan comes over
[0:10:00 -> 0:10:02]  with a bunch of...
[0:10:02 -> 0:10:04]  I think right before or after
[0:10:04 -> 0:10:06]  he went to get that brown from you.
[0:10:06 -> 0:10:08]  He was like, I've got too much orange
[0:10:08 -> 0:10:10]  and I'm going to look like Donald Trump.
[0:10:10 -> 0:10:12]  That's so funny.
[0:10:12 -> 0:10:14]  That's funny.
[0:10:14 -> 0:10:16]  It was really funny.
[0:10:16 -> 0:10:18]  It was also really interesting to hear them talk about...
[0:10:18 -> 0:10:20]  He does look orange.
[0:10:20 -> 0:10:22]  He does look orange.
[0:10:22 -> 0:10:24]  I was like, you're not wrong, Dylan.
[0:10:24 -> 0:10:26]  You don't want that.
[0:10:26 -> 0:10:28]  Whatever cream you're using is not working.
[0:10:28 -> 0:10:30]  I don't know.
[0:10:30 -> 0:10:32]  Hearing them make those connections
[0:10:32 -> 0:10:34]  and also
[0:10:34 -> 0:10:36]  talking about
[0:10:36 -> 0:10:38]  like you were saying, Angela,
[0:10:38 -> 0:10:40]  figuring out what to do with what they had.
[0:10:40 -> 0:10:42]  The only person
[0:10:42 -> 0:10:44]  who didn't make it to
[0:10:44 -> 0:10:46]  building with clay, I think,
[0:10:46 -> 0:10:48]  was Jaylene,
[0:10:48 -> 0:10:50]  who was really focused on her drawing.
[0:10:50 -> 0:10:52]  But when I asked her about it,
[0:10:52 -> 0:10:54]  it was really sweet.
[0:10:54 -> 0:10:56]  She had drawn
[0:10:56 -> 0:10:58]  her, her mom,
[0:10:58 -> 0:11:00]  Janina,
[0:11:00 -> 0:11:02]  and then the baby
[0:11:02 -> 0:11:04]  siblings that she, her mom,
[0:11:04 -> 0:11:06]  I guess recently had twins.
[0:11:08 -> 0:11:10]  And she wanted her story to be
[0:11:10 -> 0:11:12]  her at the hospital meeting them.
[0:11:12 -> 0:11:14]  Aww.
[0:11:14 -> 0:11:16]  And I was like, okay, so what's your
[0:11:16 -> 0:11:18]  conflict in the story? What's the problem?
[0:11:18 -> 0:11:20]  What happens when you're in your story?
[0:11:20 -> 0:11:22]  And she was like, well, the doctor didn't let us go inside.
[0:11:22 -> 0:11:24]  I was like, oh my gosh, this is a great story.
[0:11:24 -> 0:11:26]  The doctor didn't even feel like you're still in there.
[0:11:26 -> 0:11:28]  The story's taking place outside the hospital.
[0:11:28 -> 0:11:30]  She had to wait outside.
[0:11:30 -> 0:11:32]  I don't know, I just wanted to share that.
[0:11:32 -> 0:11:34]  That is fantastic.
[0:11:34 -> 0:11:36]  She spent so much time.
[0:11:36 -> 0:11:38]  She was really working so hard on making the drawings
[0:11:38 -> 0:11:40]  really nice.
[0:11:40 -> 0:11:42]  This isn't really the end goal.
[0:11:42 -> 0:11:44]  She didn't want to stop you.
[0:11:44 -> 0:11:46]  I just wanted to let her.
[0:11:46 -> 0:11:48]  Gerdane was the same.
[0:11:48 -> 0:11:50]  He's doing Mario, the Mario movie.
[0:11:50 -> 0:11:52]  There's no way out of it.
[0:11:52 -> 0:11:54]  But he was saying
[0:11:54 -> 0:11:56]  the princess is going to join them.
[0:11:56 -> 0:11:58]  And he said they're not going to rescue
[0:11:58 -> 0:12:00]  the princess because the princess has been
[0:12:00 -> 0:12:02]  training very hard so she's going to fight with them.
[0:12:02 -> 0:12:04]  Yeah.
[0:12:04 -> 0:12:06]  That's probably what happened along the way.
[0:12:06 -> 0:12:08]  Yeah, but he was like
[0:12:08 -> 0:12:10]  just mentioning
[0:12:10 -> 0:12:12]  being clear about
[0:12:12 -> 0:12:14]  nobody needs to rescue the princess.
[0:12:14 -> 0:12:16]  She can fight with them.
[0:12:16 -> 0:12:18]  I think that was it.
[0:12:18 -> 0:12:20]  And he was very happy drawing.
[0:12:20 -> 0:12:22]  He's very good.
[0:12:22 -> 0:12:24]  He draws it.
[0:12:24 -> 0:12:26]  There is a princess in the Mario
[0:12:26 -> 0:12:28]  video game.
[0:12:28 -> 0:12:30]  Usually she's just getting rescued.
[0:12:30 -> 0:12:32]  It's good that he could discern
[0:12:32 -> 0:12:34]  the message.
[0:12:34 -> 0:12:36]  Yeah.
[0:12:36 -> 0:12:38]  Another one that wanted every detail
[0:12:38 -> 0:12:40]  of the Mario.
[0:12:40 -> 0:12:42]  And then I told him
[0:12:42 -> 0:12:44]  with Crain it might be difficult to...
[0:12:44 -> 0:12:46]  So you don't need to spend so much time.
[0:12:46 -> 0:12:48]  I mean I thought that
[0:12:48 -> 0:12:50]  he was enjoying doing the drawing process
[0:12:50 -> 0:12:52]  and that he would feel
[0:12:52 -> 0:12:54]  when he gets to the committee
[0:12:54 -> 0:12:56]  how to make it work.
[0:12:56 -> 0:12:58]  It's this balance I think between
[0:12:58 -> 0:13:00]  moving them forward.
[0:13:00 -> 0:13:02]  Like you said, if you tell me
[0:13:02 -> 0:13:04]  make the head lighter
[0:13:04 -> 0:13:06]  then it will hold.
[0:13:06 -> 0:13:08]  So that they learn it on their own.
[0:13:08 -> 0:13:10]  Letting them explore the artistic
[0:13:10 -> 0:13:12]  part. He spent most
[0:13:12 -> 0:13:14]  of the session in this one square.
[0:13:14 -> 0:13:16]  Drawing.
[0:13:16 -> 0:13:18]  But by the end
[0:13:18 -> 0:13:20]  I asked him
[0:13:20 -> 0:13:22]  if he wanted to try
[0:13:22 -> 0:13:24]  to do one of the parts.
[0:13:24 -> 0:13:26]  So he got to
[0:13:26 -> 0:13:28]  start to planning.
[0:13:28 -> 0:13:30]  He was like
[0:13:30 -> 0:13:32]  looking at the clay like...
[0:13:32 -> 0:13:34]  Mmm...
[0:13:34 -> 0:13:36]  It's such a different...
[0:13:36 -> 0:13:38]  But that's the beauty that it's not replicating it.
[0:13:38 -> 0:13:40]  It's making something new.
[0:13:40 -> 0:13:42]  Inspired by whatever thinking you've done before.
[0:13:42 -> 0:13:44]  It's a translation.
[0:13:44 -> 0:13:46]  It's transmediation.
[0:13:46 -> 0:13:48]  It's not mere replication.
[0:13:48 -> 0:13:50]  I wonder also
[0:13:50 -> 0:13:52]  for a kid like Giordani
[0:13:52 -> 0:13:54]  if we just let him
[0:13:54 -> 0:13:56]  with the drawing.
[0:13:56 -> 0:13:58]  Is the clay...
[0:13:58 -> 0:14:00]  I don't know. Maybe the clay is the goal.
[0:14:00 -> 0:14:02]  Maybe pushing the clay.
[0:14:02 -> 0:14:04]  Hi!
[0:14:04 -> 0:14:06]  Hi, Navina?
[0:14:06 -> 0:14:08]  Husband.
[0:14:08 -> 0:14:10]  No, Navina.
[0:14:10 -> 0:14:12]  I've made friends with Navina.
[0:14:12 -> 0:14:14]  I don't remember her name.
[0:14:14 -> 0:14:16]  I don't remember her much
[0:14:16 -> 0:14:18]  because she hasn't come yet.
[0:14:20 -> 0:14:22]  Sorry.
[0:14:22 -> 0:14:24]  I wonder if...
[0:14:24 -> 0:14:26]  If he should do it with the drawing.
[0:14:26 -> 0:14:28]  Do it with the drawing.
[0:14:28 -> 0:14:30]  Like with drawing and cutting out.
[0:14:30 -> 0:14:32]  Like we did before.
[0:14:32 -> 0:14:34]  I think we should open it up to that.
[0:14:34 -> 0:14:36]  And then to address the 3D
[0:14:36 -> 0:14:38]  he could put some stand
[0:14:38 -> 0:14:40]  like a little piece of something to hold it up.
[0:14:40 -> 0:14:42]  Or whatever he comes up with.
[0:14:42 -> 0:14:44]  Maybe we can...
[0:14:44 -> 0:14:46]  That would be great.
[0:14:46 -> 0:14:48]  Make pieces of white paper.
[0:14:48 -> 0:14:50]  Yes, it's a possibility.
[0:14:50 -> 0:14:52]  I feel like...
[0:14:52 -> 0:14:54]  Why not let him run with it?
[0:14:54 -> 0:14:56]  If he only wants that.
[0:14:56 -> 0:14:58]  It should be his decision to choose.
[0:14:58 -> 0:15:00]  And then do whatever he wants.
[0:15:00 -> 0:15:02]  That would be great to see what happens.
[0:15:02 -> 0:15:04]  But probably give him the option.
[0:15:04 -> 0:15:06]  If you want to.
[0:15:06 -> 0:15:08]  We can make the accommodations.
[0:15:10 -> 0:15:12]  I don't want clay.
[0:15:12 -> 0:15:14]  But he was trying to do Donkey Kong
[0:15:14 -> 0:15:16]  with the clay.
[0:15:16 -> 0:15:18]  Oh, he had no practice
[0:15:18 -> 0:15:20]  to help to say...
[0:15:20 -> 0:15:22]  DK.
[0:15:22 -> 0:15:24]  He didn't like when I called him DK.
[0:15:24 -> 0:15:26]  But that's what I remember.
[0:15:26 -> 0:15:28]  Donkey Kong, yeah?
[0:15:28 -> 0:15:30]  Donkey Kong.
[0:15:30 -> 0:15:32]  So we have the artistic process.
[0:15:34 -> 0:15:36]  Someone mentioned the story.
[0:15:36 -> 0:15:38]  Like Cristina said.
[0:15:38 -> 0:15:40]  What's the problem?
[0:15:40 -> 0:15:42]  What's the main action in the story?
[0:15:42 -> 0:15:44]  I was trying to ask
[0:15:44 -> 0:15:46]  what's the message?
[0:15:46 -> 0:15:48]  What are you trying to tell in the story?
[0:15:48 -> 0:15:50]  What is the story?
[0:15:50 -> 0:15:52]  It's that you want the...
[0:15:52 -> 0:15:54]  But I couldn't get to that.
[0:15:54 -> 0:15:56]  That's another goal that we had.
[0:15:56 -> 0:15:58]  To maybe think about inferring.
[0:15:58 -> 0:16:00]  What is it that they want us
[0:16:00 -> 0:16:02]  to infer from the story?
[0:16:02 -> 0:16:04]  It's kind of the opposite way of inferring.
[0:16:04 -> 0:16:06]  Because they are creating something for us to infer.
[0:16:06 -> 0:16:08]  Or I guess we will make
[0:16:08 -> 0:16:10]  whatever meaning we want
[0:16:10 -> 0:16:12]  with their stories.
[0:16:12 -> 0:16:14]  But I was asking them
[0:16:14 -> 0:16:16]  to explore that a little bit.
[0:16:16 -> 0:16:18]  Did you ask them
[0:16:18 -> 0:16:20]  any of that?
[0:16:20 -> 0:16:22]  What were your questions about the story?
[0:16:22 -> 0:16:24]  I was working with Jada
[0:16:24 -> 0:16:26]  because the story was about fighting
[0:16:26 -> 0:16:28]  and then getting tired
[0:16:28 -> 0:16:30]  and leaving.
[0:16:30 -> 0:16:32]  So I was trying to perhaps
[0:16:32 -> 0:16:34]  think a little bit more about
[0:16:34 -> 0:16:36]  a more positive ending.
[0:16:36 -> 0:16:38]  So we were talking about
[0:16:38 -> 0:16:40]  what really happens
[0:16:40 -> 0:16:42]  when you fight with a friend.
[0:16:42 -> 0:16:44]  So I asked him, when you fight with your friend
[0:16:44 -> 0:16:46]  do you just go away?
[0:16:46 -> 0:16:48]  Or do you try to
[0:16:48 -> 0:16:50]  be friends again?
[0:16:50 -> 0:16:52]  So he was like,
[0:16:52 -> 0:16:54]  yeah, but I think that he
[0:16:54 -> 0:16:56]  finds funny
[0:16:56 -> 0:16:58]  the ending.
[0:16:58 -> 0:17:00]  But that's fine.
[0:17:00 -> 0:17:02]  The end is that they remain angry.
[0:17:02 -> 0:17:04]  Yeah, it was not that they were angry.
[0:17:04 -> 0:17:06]  He had resistance to
[0:17:06 -> 0:17:08]  a happy ending.
[0:17:08 -> 0:17:10]  He doesn't say that
[0:17:10 -> 0:17:12]  they were angry, but they were tired.
[0:17:12 -> 0:17:14]  They were tired.
[0:17:14 -> 0:17:16]  So does he see it as
[0:17:16 -> 0:17:18]  playing mostly?
[0:17:18 -> 0:17:20]  Does it seem like?
[0:17:20 -> 0:17:22]  The story is that
[0:17:22 -> 0:17:24]  he is with Isis in a park
[0:17:24 -> 0:17:26]  and
[0:17:26 -> 0:17:28]  Isis punches him first
[0:17:28 -> 0:17:30]  and then he
[0:17:30 -> 0:17:32]  punches back
[0:17:32 -> 0:17:34]  and then they punch for a
[0:17:34 -> 0:17:36]  moment in time
[0:17:36 -> 0:17:38]  and then they get tired and they leave.
[0:17:38 -> 0:17:40]  But he did say
[0:17:40 -> 0:17:42]  this was Isis' story.
[0:17:42 -> 0:17:44]  She created, like, I have no
[0:17:44 -> 0:17:46]  ownership in this.
[0:17:46 -> 0:17:48]  No, because he has missed
[0:17:48 -> 0:17:50]  the two last sessions.
[0:17:50 -> 0:17:52]  So he kind of took over
[0:17:52 -> 0:17:54]  the story.
[0:17:54 -> 0:17:56]  When he was working with Isis
[0:17:56 -> 0:17:58]  the story got to the part that
[0:17:58 -> 0:18:00]  they were in the park and
[0:18:00 -> 0:18:02]  they were angry.
[0:18:02 -> 0:18:04]  So that's a bit...
[0:18:04 -> 0:18:06]  But the other part
[0:18:06 -> 0:18:08]  where they punch themselves
[0:18:08 -> 0:18:10]  and they are tired and leave.
[0:18:10 -> 0:18:12]  All of that is Jaden's.
[0:18:12 -> 0:18:14]  Some of them are very violent
[0:18:14 -> 0:18:16]  and dramatic.
[0:18:16 -> 0:18:18]  In that group, they were going to jail.
[0:18:18 -> 0:18:20]  They were a target
[0:18:20 -> 0:18:22]  and they were stealing.
[0:18:22 -> 0:18:24]  The push, what is it called?
[0:18:24 -> 0:18:26]  If you steal, you're going to jail.
